Date,Open,High,Low,Close,Adj Close,Volume,Days
2018-02-14,103.580002,107.110001,103.360001,106.68,96.335083,723500,0
2018-02-15,107.040001,107.470001,105.580002,106.949997,96.578888,926900,1
2018-02-16,106.019997,107.57,104.730003,105.589996,95.350777,624300,2
2018-02-20,104.800003,106.459999,103.660004,105.389999,95.170151,621000,3
2018-02-21,105.349998,109.400002,105.349998,106.669998,96.326057,818000,4
2018-02-22,106.739998,109.540001,106.739998,107.510002,97.084595,673000,5
2018-02-23,108.370003,108.540001,106.400002,108.529999,98.005684,549500,6
2018-02-26,109.269997,110.370003,108.620003,109.610001,98.980965,652200,7
2018-02-27,110.199997,111.830002,107.82,107.900002,97.43679,704000,8
2018-02-28,108.389999,109.110001,105.830002,105.839996,95.576546,790800,9
2018-03-01,105.800003,106.959999,103.919998,105.120003,94.926361,771300,10
2018-03-02,104.120003,106.730003,102.519997,106.440002,96.118355,700200,11
2018-03-05,106.220001,108.830002,106.019997,107.419998,97.003319,752200,12
2018-03-06,107.43,107.980003,106.370003,106.959999,96.587921,942400,13
2018-03-07,105.82,107.540001,104.949997,106.970001,96.596954,709300,14
2018-03-08,107,107.339996,104.870003,105.230003,95.025696,627100,15
2018-03-09,105.970001,106.260002,104.5,105.839996,95.576546,735300,16
2018-03-12,105.949997,108.330002,105.5,107.480003,97.057518,643900,17
2018-03-13,108.279999,108.940002,107.199997,107.32,96.91301,566600,18
2018-03-14,108.169998,108.769997,107.330002,107.779999,97.3284,429200,19
2018-03-15,107.989998,108.550003,106.800003,108.440002,97.924416,527200,20
2018-03-16,108.650002,110.25,107.870003,109.150002,98.565575,706500,21
2018-03-19,108.970001,110.68,107.900002,108.32,97.81604,616500,22
2018-03-20,108.68,110.510002,108.580002,110.400002,99.694359,704500,23
2018-03-21,110.440002,111.849998,109.410004,109.470001,98.85453,614300,24
2018-03-22,111.919998,111.919998,107.599998,107.660004,97.220062,941300,25
2018-03-23,107.779999,109.800003,106.959999,107.080002,96.696297,772500,26
2018-03-26,109.120003,110.75,107.980003,110.730003,99.992355,648700,27
2018-03-27,110.639999,111.949997,108.940002,109.589996,98.962891,729600,28
2018-03-28,109.419998,110.779999,108.160004,110.040001,99.824715,771500,29
2018-03-29,111,112.690002,110.57,111.800003,101.421318,668800,30
2018-04-02,111,111.230003,107.230003,108.040001,98.010384,849100,31
2018-04-03,109.089996,109.989998,108.050003,109.839996,99.643265,797900,32
2018-04-04,108.620003,112.940002,108.389999,112.699997,102.237778,1054000,33
2018-04-05,112.879997,114.68,112.75,114.389999,103.770874,819400,34
2018-04-06,113.940002,114.559998,110.639999,111.769997,101.394096,848400,35
