Importance,Minutes_Per_Day
Important,50
Important,300
Not very important,26
Important,331
Not very important,311
Important,62
Not very important,141
Not very important,30
Important,30
Important,143
Not very important,180
Important,180
Important,120
Important,4
Not very important,34
Not very important,98
Not very important,90
Not very important,180
Not very important,60
Important,179
Not very important,67
Not very important,267
Not very important,666
Not very important,120
Important,1
Not very important,3
Important,60
Not very important,172
Not very important,82
Important,10
Not very important,17
Not very important,71
Not very important,100
Not very important,71
Important,150
Important,23
Not very important,90
Not very important,90
Not very important,425
Not very important,90
Not very important,5
Not very important,90
Not very important,35
Not very important,90
Not very important,60
Not very important,180
Not very important,235
Not very important,209
Not very important,120
Not very important,2
Not very important,5
Not very important,30
Not very important,3
Not very important,180
Important,6
Important,360
Not very important,120
Not very important,15
Not very important,120
Important,120
Not very important,60
Important,223
Not very important,4
Not very important,240
Not very important,7
Not very important,104
Important,120
Not very important,240
Not very important,31
Important,6
Not very important,236
Important,94
Not very important,210
Not very important,7
Not very important,360
Not very important,61
Not very important,54
Not very important,250
Not very important,90
Not very important,360
Not very important,4
Not very important,70
Not very important,180
Important,60
Not very important,344
Not very important,52
Important,120
Not very important,10
Not very important,2
Not very important,186
Not very important,120
Important,44
Not very important,197
Not very important,60
Not very important,4
Not very important,480
Not very important,198
Not very important,90
Not very important,112
Important,100
Not very important,60
Important,400
Not very important,67
Not very important,60
Not very important,71
Not very important,120
Important,90
Not very important,120
Important,44
Not very important,90
Not very important,90
Not very important,50
Important,70
Not very important,79
Not very important,85
Important,180
Not very important,17
Not very important,100
Important,8
Not very important,4
Not very important,20
Not very important,53
Not very important,75
Important,4
Important,240
Important,30
Not very important,10
Important,60
Important,14
Not very important,30
Not very important,120
Not very important,47
Important,70
Not very important,20
Not very important,106
Not very important,90
Important,200
Not very important,10
Not very important,180
Not very important,70
Important,617
Not very important,240
Not very important,3
Not very important,60
Not very important,300
Important,334
Not very important,358
Not very important,150
Not very important,120
Not very important,60
Important,93
Important,420
Not very important,120
Not very important,58
Not very important,35
Important,4
Not very important,33
Not very important,224
Not very important,120
Not very important,200
Not very important,4
Not very important,219
Not very important,70
Not very important,105
Not very important,47
Important,39
Important,150
Not very important,47
Not very important,100
Not very important,120
Not very important,46
Not very important,75
Not very important,15
Not very important,1
Not very important,33
Not very important,42
Not very important,36
Not very important,80
Not very important,90
Not very important,60
Not very important,18
Not very important,2
Not very important,17
Important,20
Not very important,47
Not very important,60
Not very important,23
Not very important,3
Not very important,28
Important,120
Important,55
Not very important,2
Important,32
Not very important,94
Not very important,51
Important,59
Important,58
Not very important,120
Not very important,90
Not very important,378
Not very important,1
Not very important,80
Not very important,28
Not very important,66
Not very important,30
Important,3
Not very important,128
Important,42
Not very important,60
Not very important,110
